number,name,about,okruh
1,Адамович Сергій Васильович,"Громадянин України, народився 04.10.1976 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Прикарпатський університет ім. В. Стефаника, професор, місце проживання: м. Івано-Франківськ",67
2,Атаманюк Олег Юрійович,"Громадянин України, народився 08.08.1981 р., освіта вища, безпартійний, Івано-Франківський національний медичний університет, Доцент кафедри хірургії післядипломної освіти, місце проживання: Івано-Франківська область, Косівський район, с. Шешори",32
3,Басараб Сергій Михайлович,"Громадянин України, народився 01.05.1970 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Івано-Франківська обласна державна адміністрація, Перший заступник голови, місце проживання: м. Івано-Франківськ",6
4,Білик Роман Павлович,"Громадянин України, народився 24.01.1964 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", Заболотівська районна лікарня, Завідувач дитячим відділом, місце проживання: Івано-Франківська область, Снятинський район, смт Заболотів,",50
5,Виноградник Тарас Теофілович,"Громадянин України, народився 23.06.1964 р., освіта вища, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", ТОВ""Арсенал Сіті"", директор, місце проживання: м Івано-Франківськ",Перший кандидат
6,Візінський Іван Степанович,"Громадянин України, народився 10.06.1978 р., освіта загальна середня, безпартійний, Фізична особа-підприємець, місце проживання: Івано-Франківська область, Городенківський район, с. Ясенів-Пільний",11
7,Вітенко Микола Іванович,"Громадянин України, народився 17.06.1984 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Івано-Франківська міська рада, секретар, місце проживання: м. Івано-Франківськ",70
8,Вітенко Михайло Дмитрович,"Громадянин України, народився 15.12.1981 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Фізична особа, підприємець, місце проживання: с. Черемхів, Коломийського району, Івано-Франківської обл.",23
9,Галабала Ольга Юріївна,"Громадянка України, народилася 14.02.1985 р., освіта вища, член Політичної партії ""Воля"", Політична партія ""ВОЛЯ"", Член Ради, місце проживання: м. Київ",Перший кандидат
10,Гладій Василь Іванович,"Громадянин України, народився 23.05.1972 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Івано-Франківська дирекція ""Укргазбанку"", директор, місце проживання: Івано-Франківська обл.. Снятинський район с.Задубрівці",Перший кандидат
11,Гладун Василь Васильович,"Громадянин України, народився 14.01.1969 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Богородчанська дільниця тепличного господарства філії ""Агрогаз"" ПАТ""Укртрансгаз"", начальник, місце проживання: Івано-Франківська обл., Тисменицький р-н, с. Чорнолізці",56
12,Голіней Юрій Дмитрович,"Громадянин України, народився 06.05.1977 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", ТОВ ""Прикарпатсервіс"", директор, місце проживання: Івано-Франківська обл., Надвірнянський район, селище Ланчин",36
13,Гончарук Олег Романович,"Громадянин України, народився 31.01.1968 р., освіта вища, безпартійний, Івано-Франківська обласна державна адміністрація, Голова, місце проживання: м. Івано-Франківськ",Перший кандидат
14,Грицюк Дмитро Онуфрійович,"Громадянин України, народився 11.11.1974 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватне підприємство ""Стомат-Снятин"", директор, місце проживання: Івано-Франківська обл., Снятинський район, с. Драгасимів",51
15,Данів Іван Михайлович,"Громадянин України, народився 22.10.1962 р., освіта вища, безпартійний, Виконавчий апарат Івано-Франківської обласної ради, Керуючий справами – заступник керівника, місце проживання: Івано-Франківська обл., Калуський район, с. Завій",18
16,Дебенко Ігор Богданович,"Громадянин України, народився 09.01.1987 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Івано-Франківська ОДА, Директор департаменту інформаційної діяльності та комунікацій з громадськістю, місце проживання: м. Івано-Франківськ",63
17,Дзвінчук Дмитро Іванович,"Громадянин України, народився 18.10.1956 р., освіта вища, безпартійний, Івано-Франківський національний технічний університет нафти і газу, Директор інституту гуманітарної підготовки та державного управління, місце проживання: м. Івано-Франківськ",31
18,Дзеса Остап Васильович,"Громадянин України, народився 04.02.1953 р., освіта вища, безпартійний, Івано-Франківська обласна рада, Заступник голови, місце проживання: м. Івано-Франківськ",16
19,Дідик Богдан Васильович,"Громадянин України, народився 29.11.1958 р., освіта професійно-технічна, безпартійний, Публічне акціонерне товариство ""Укртелеком"", Начальник станційно-лінійної дільниці №5, місце проживання: Івано-Франківська область, Рогатинський район, с. Жовчів",42
20,Дроняк Микола Миколайович,"Громадянин України, народився 13.11.1972 р., освіта вища, безпартійний, Івано-Франківський національний медичний університет, Доцент, місце проживання: Івано-Франківська область, Тисменецький район, с. Загвіздя",48
21,Дудкевич Василь Ілліч,"Громадянин України, народився 15.04.1982 р., освіта вища, безпартійний, ТзОВ ""Пакко Холдинг"", заступник генерального директора, місце проживання: Івано-Франківська обл. Снятинський район с.Задубрівці",49
22,Дякур Дмитро Дмитрович,"Громадянин України, народився 12.04.1958 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Снятинський психоневрологічний інтернат, директор, місце проживання: Івано-Франківська обл. Снятинський район, с. Горішнє Залуччя",48
23,Ерстенюк Михайло Васильович,"Громадянин України, народився 10.07.1961 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: Івано-Франківська обл., Надвірнянський район, селище Делятин",39
24,Загурський Олег Васильович,"Громадянин України, народився 02.12.1986 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", приватний підприємець СПД ФО Загурський О.В., директор, місце проживання: м. Івано-Франківськ",72
25,Іванів Назарій Іванович,"Громадянин України, народився 17.04.1982 р., освіта вища, безпартійний, Рожнятівська районна рада, Голова, місце проживання: Івано-Франківська обл., Рожнятівський р-н, смт. Брошнів – Осада",43
26,Іваночко Михайло Степанович,"Громадянин України, народився 31.10.1972 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Безробітний, місце проживання: Івано-Франківська обл., Надвірнянський р-н, с. Лачин",36
27,Іваськів Андрій Степанович,"Громадянин України, народився 08.12.1971 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ТзОВ ""Енергетик Прикарпаття"", директор, місце проживання: Івано-Франківська обл., м. Бурштин",61
28,Іващенко Андрій Васильович,"Громадянин України, народився 14.10.1982 р., освіта вища, безпартійний, ПП ""Акра Голд"", директор, місце проживання: м. Івано-Франківськ",53
29,Ілюк Микола Дмитрович,"Громадянин України, народився 14.12.1974 р., освіта вища, безпартійний, Верховинська центральна районна лікарня, Головний лікар, місце проживання: Івано-Франківська область, Верховинський район, смт Верховина",5
30,Карп Галина Василівна,"Громадянка України, народилася 11.08.1961 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Івано-Франківська обласна державна адміністрація, Директор департаменту фінансів, місце проживання: м. Київ",8
31,Кисилиця Оксана Антонівна,"Громадянка України, народилася 02.02.1968 р., освіта вища, безпартійна, Тлумацька ЦРЛ, Завідувач гінекологічним відділенням, місце проживання: м.Тлумач, Тлумацький район",57
32,Книшук Орися Володимирівна,"Громадянка України, народилася 02.07.1964 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Фермерське господарство ""Прометей"", голова, місце проживання: Івано-Франківська обл. Коломийський район, с.Перерів",50
33,Книшук Петро Васильович,"Громадянин України, народився 12.07.1960 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Товариство з обмеженою відповідальністю ""Прут-Генетик"", директор, місце проживання: с. Яблунів, Косівського району, Івано-Франківської обл.",25
34,Кобилянський Богдан Миколайович,"Громадянин України, народився 05.04.1969 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Городенківська районна рада, Голова, місце проживання: Івано-Франківська обл.,Городенківський район, с. Вікно",13
35,Королик Михайло Михайлович,"Громадянин України, народився 25.11.1986 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Тисменицька районна рада, Заступник керівника виконавчого апарату, місце проживання: м. Івано-Франківськ",69
36,Крутий Роман Анатолійович,"Громадянин України, народився 21.11.1978 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Управління земельних ресурсів та надрокористування ПАТ ""Івано-Франківськцемент"", Начальник юридичного відділу, місце проживання: м. Івано-Франківськ",53
37,Кузьма Микола Миколайович,"Громадянин України, народився 24.05.1969 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: м. Івано – Франківськ",58
38,Лащук Дмитро Васильович,"Громадянин України, народився 17.08.1973 р., освіта вища, безпартійний, Фізична особа-підприємець, місце проживання: Івано-Франківська обл., Коломийський район, селище Печеніжин",27
39,Левицький Олександр Михайлович,"Громадянин України, народився 28.05.1980 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Івано-Франківська обласна рада, перший заступник голови, місце проживання: с-ще Отинія, Коломийського району, Івано-Франківської обл.",22
40,Левкович Андрій Васильович,"Громадянин України, народився 17.10.1974 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Івано-Франківська торгово-промислова палата, Президент, місце проживання: м. Львів",10
41,Ленігевич Богдан Васильович,"Громадянин України, народився 10.03.1973 р., освіта вища, безпартійний, Долинське кооперативне об’єднання роздрібних торгових підприємств, Заступник директора по громадському харчуванню, місце проживання: Івано-Франківська обл., Долинський район, м. Долина",14
42,Магаль Володимир Васильович,"Громадянин України, народився 08.06.1977 р., освіта вища, безпартійний, ТОВ ""Галтехнопарк"", директор, місце проживання: м. Івано-Франківськ",7
43,Макота Галина Зенонівна,"Громадянка України, народилася 14.07.1983 р., освіта вища, член Політичної партії ""Воля"", ЛРІДУ НАДУ при Президентові України, Провідний фахівець, місце проживання: Івано-Франківська область, м. Болехів",60
