number,name,about,okruh
44,Марійчин Андрій Андрійович,"Громадянин України, народився 05.02.1975 р., освіта вища, член Політичної партії ""Воля"", Приватний підприємець, місце проживання: Івано-Франківська область, Яремчанська міська рада, с. Яблуниця",84
45,Мельнеченко Оксана Михайлівна,"Громадянка України, народилася 23.09.1976 р., освіта вища, безпартійна, ДПІ м. Косів, Перший заступник, в/о начальника, місце проживання: м. Косів, Косівський район",29
46,Мельничук Василь Іванович,"Громадянин України, народився 14.01.1971 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Підприємець, місце проживання: Івано-Франківська обл., Городенківський р-н, с. Топорівці",13
47,Мироняк Андрій Іванович,"Громадянин України, народився 24.01.1972 р., освіта вища, безпартійний, ФСТ ""Динамо"", заступник голови, місце проживання: Івано-Франківська обл., с. Микуличин",84
48,Никорович Святослав Ігорович,"Громадянин України, народився 23.11.1990 р., освіта вища, безпартійний, ДВНЗ ""Прикарпатський національний університет ім..В.Стефаника"", Аспірант, місце проживання: смт Богородчани, Богородчанський район",1
49,Озорович Василь Васильович,"Громадянин України, народився 20.12.1968 р., освіта професійно-технічна, безпартійний, Яремчанська центральна міська лікарня, Рентген-лаборант, місце проживання: Івано-Франківська область, м. Яремче",84
50,Оробець Інна Петрівна,"Громадянка України, народилася 15.02.1971 р., освіта середня спеціальна, безпартійна, ФСК ""Локомотив"", Тренер-викладач, місце проживання: м. Коломия, Коломийський район",82
51,Остащук Руслан Васильович,"Громадянин України, народився 31.07.1972 р., освіта вища, безпартійний, ДП ""Надвірнянське лісове господарство"", директор, місце проживання: Івано-Франківська обл., Надвірнянський район, с. Пасічна",38
52,Павлів Роман Михайлович,"Громадянин України, народився 01.01.1962 р., освіта вища, безпартійний, ТзОВ ""СП ""Будучність"", директор, місце проживання: Івано-Франківська обл., Рожнятівський район, смт. Рожнятів",47
53,Палійчук Микола Васильович,"Громадянин України, народився 17.08.1971 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", Івано-Франківський національний технічний університет нафти і газу, Доцент кафедри державного управління, місце проживання: Івано-Франківська область, м.Яремче, смт Ворохта",Перший кандидат
54,Піцуряк Манолій Васильович,"Громадянин України, народився 05.11.1957 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Солотвинська районна лікарня, Головний лікар, місце проживання: Івано-Франківська обл., Богородчанський р-н, с. Дзвиняч",3
55,Поліш Володимир Віталійович,"Громадянин України, народився 28.02.1975 р., освіта вища, безпартійний, Публічне акціонерне товариство ""Івано-Франківський РЕМ"", директор, місце проживання: Івано-Франківська область, м. Тисмениця",52
56,Попович Василь Борисович,"Громадянин України, народився 16.04.1984 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", ТзОВ ""Ворк Старт"", директор, місце проживання: Івано-Франківська обл., Тисменицький р-н, с. Драгомирчани",54
57,Приймак Іван Васильович,"Громадянин України, народився 10.06.1959 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Приватне підприємство ""Агрофірма ""Вільхівці"", директор, місце проживання: Івано-Франківська область, Городенківський район, с. Вільхівці",12
58,Радиш Сергій Васильович,"Громадянин України, народився 19.05.1981 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Косівське відділення соціального забезпечення, заступник керівника відділу, місце проживання: Івано-Франківська обл., Косівський район, с.Рожнів",30
59,Романюк Андрій Григорович,"Громадянин України, народився 01.08.1971 р., освіта вища, безпартійний, Болехівська загальноосвітня школа І-ІІІ ступенів, директор, місце проживання: Івано-Франківська область, м. Болехів",60
60,Рудик Марія Олександрівна,"Громадянка України, народилася 25.04.1979 р., освіта вища, безпартійна, Навчально-методичний кабінет професійно-технічної освіти в Івано-Франківській області, директор, місце проживання: Івано-Франківська область, Богородчанський район, смт. Богородчани",4
61,Сенатович Василь Федорович,"Громадянин України, народився 03.03.1969 р., освіта середня спеціальна, член політичної партії Всеукраїнське об’єднання ""Свобода"", Приватний підприємець, директор, місце проживання: Івано-Франківська обл., Надвірнянський р-н, с. Пнів",34
62,Сич Олександр Максимович,"Громадянин України, народився 16.07.1964 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Інституту політичних і етнонаціональних досліджень ім. І.Ф. Кураса НАН України, докторант, місце проживання: м. Івано-Франківськ",Перший кандидат
63,Сіреджук Дмитро Дмитрович,"Громадянин України, народився 13.02.1981 р., освіта вища, безпартійний, Фізична особа-підприємець, місце проживання: Івано-Франківська область, м. Івано-Франківськ",32
64,Соляник Богдан Степанович,"Громадянин України, народився 07.07.1960 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Приватний підприємець, директор, місце проживання: м. Івано-Франківськ",62
65,Станіславський Богдан Миколайович,"Громадянин України, народився 26.05.1969 р., освіта вища, безпартійний, ТОВ ""Станіславський"", директор, місце проживання: м. Коломия, Коломийський район",59
66,Сухоцький Микола Йосипович,"Громадянин України, народився 29.07.1961 р., освіта вища, безпартійний, Рожнятівська центральна районна лікарня по охороні материнства і дитинства, Заступник головного лікаря, місце проживання: Івано-Франківська область, Рожнятівський район, смт Рожнятів",45
67,Тебешевська Оксана Степанівна,"Громадянка України, народилася 01.01.1955 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Голинська ЗОШ І-ІІІ ст. Калуського р-н, Івано-Франківської обл., вчитель, місце проживання: Івано-Франківська обл., Калуський р-н, с. Голинь",21
68,Тимофійчук Богдан Володимирович,"Громадянин України, народився 17.06.1962 р., освіта вища, безпартійний, агропідприємства ПФ ""Богдан і К"", директор, місце проживання: Івано-Франківська область, Снятинський район, с. Попельники",51
69,Ткач Роман Володимирович,"Громадянин України, народився 22.05.1962 р., освіта вища, безпартійний, ТОВ ""Юридична компанія ""Моріс Груп"", Радник, місце проживання: Івано-Франківська обл., Тисменицький р-н, с. Ямниця",55
70,Ткачук Марія Михайлівна,"Громадянка України, народилася 25.10.1986 р., освіта вища, безпартійна, Фонд ТОВ ""УНК МТП КАРПАТИ"", директор, місце проживання: м. Коломия, Коломийський район",83
71,Токарчук Олег Володимирович,"Громадянин України, народився 01.08.1975 р., освіта вища, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", Коломийська дитяча лікарня, Головний лікар, місце проживання: м. Коломия, Коломийський район",81
72,Торб’як Михайло Петрович,"Громадянин України, народився 01.07.1965 р., освіта вища, безпартійний, ПрАТ СК ""Галицька"", Голова правління, місце проживання: м. Івано-Франківськ",9
73,Тринів Ігор Васильович,"Громадянин України, народився 03.09.1959 р., освіта вища, безпартійний, Рогатинський державний аграрний коледж, директор, місце проживання: Івано-Франківська обл., Рогатинський район, м.Рогатин",40
74,Федишина Ольга Миколаївна,"Громадянка України, народилася 24.07.1988 р., освіта вища, член Політичної партії ""Воля"", Апарат Верховної Ради України, Помічник-консультант народного депутата України Ю. Б. Дерев’янка, місце проживання: Полтавська область, м. Кременчук",39
75,Федорців Сергій Іванович,"Громадянин України, народився 02.01.1977 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Приватний підприємець, директор, місце проживання: м. Івано-Франківськ",74
76,Фрик Олексій Богданович,"Громадянин України, народився 10.12.1963 р., освіта вища, безпартійний, ДП ""Осмолодське лісове господарство"", директор, місце проживання: Івано-Франківська обл., Галицький район, село Дорогів",44
77,Чаплинська Наталія Любомирівна,"Громадянка України, народилася 20.04.1962 р., освіта вища, безпартійна, ПАТ ""Прикарпаття обленерго"", Менеджер з персоналу, місце проживання: м. Івано-Франківськ, с. Микитнці",71
78,Черневий Юрій Іванович,"Громадянин України, народився 12.02.1964 р., освіта вища, безпартійний, Прикарпатський лісогосподарський коледж, директор, місце проживання: Івано-Франківська обл., м.Болехів",60
79,Шевчук Ігор Михайлович,"Громадянин України, народився 05.10.1980 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", тимчасово не працює, місце проживання: м. Івано-Франківськ, с. Угорники",75
80,Шкіндюк Іван Юрійович,"Громадянин України, народився 01.09.1970 р., освіта вища, безпартійний, ДПІ у Верховинському районі., в.о.начальника, місце проживання: Івано-Франківськ",6
81,Щербій Наталія Олегівна,"Громадянка України, народилася 07.05.1990 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Прикарпатський національний університет ім. В. Стефаника, викладач, місце проживання: м. Івано-Франківськ",73
82,Якимчук Михайло Ігорович,"Громадянин України, народився 10.03.1984 р., освіта вища, член Політичної партії ""Воля"", Приватний підприємець, місце проживання: Івано-Франківська область, м. Калуш",19
83,Яцишинець Андрій Ярославович,"Громадянин України, народився 12.10.1974 р., освіта вища, безпартійний, ДП ""Осмолодське лісове господарство"", Лісничий, місце проживання: Івано-Франківська обл., Рожнятівський район, смт. Перегінськ",45
