number,name,about,okruh
1,Белезяк Оксана Юріївна,"Освіта вища, позапартійна, відділ ведення Державного реєстру виборців міськвиконкому, начальник відділу",б/м
2,Бунчак Ярослав Тадейович,"Освіта середня, член Політичної партії ""Наша Україна"", Болехівська ДЮСШ, завгосп",10
3,Вігак Руслана Романівна,"Освіта середня, позапартійна, ПП Вігак А.Б., продавець",2
4,Герецький Ігор Гарікович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", приватний підприємець",б/м
5,Герило Василь Ярославович,"Освіта середня, позапартійний, приватний підприємець, станція технічного обслуговування автомобілів",22
6,Гнатишин Лідія Ярославівна,"Освіта середня, член Народного Руху України, м.Болехів ринок, підприємець",7
7,Гошовський Степан Михайлович,"Освіта вища, позапартійний, приватний підприємець",б/м
8,Дубів Ганна Михайлівна,"Освіта вища, член Політичної партії ""Наша Україна"", Фельдшерсько-акушерський пункт с. Козаківка, завідувач",12
9,Дьякунович Олег Іванович,"Освіта середня спеціальна, член Єдиного Центру, тимчасово не працює",4
10,Іванишин Тадей Миронович,"Освіта середня спеціальна, позапартійний, Болехівський міський центр зайнятост, водій",5
11,Іванів Юрій Ярославович,"Освіта вища, позапартійний, Козаківська загальноосвітня школа, вчитель",13
12,Качур Богдан Михайлович,"Освіта вища, позапартійний, народний дім м. Болехова, директор",б/м
13,Кіцул Людмила Миколаївна,"Освіта вища, член Політичної партії ""Наша Україна"", Болехівська міська рада, заступник міського голови",б/м
14,Клим Василь Ярославович,"Освіта вища, член Партії ""ВІДРОДЖЕННЯ"", МНУ ВАТ ""Укрнафта"", майстер дільниці ППЗ",б/м
15,Кондрат Мирон Васильович,"Освіта середня спеціальна, позапартійний, Стрийське НГРЕ, водій",14
16,Коник Зеновій Йосипович,"Освіта вища, член Політичної партії ""Фронт Змін"", приватний підприємець",б/м
17,Копиняк Тарас Володимирович,"Освіта середня, член Всеукраїнського об’єднання ""Свобода"" , тимчасово не працює",б/м
18,Котурбаш Назар Любомирович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , тимчасово не працює",б/м
19,Кулик Степан Григорович,"Освіта вища, позапартійний, пенсіонер",6
20,Курта Іван Володимирович,"Освіта середня спеціальна, позапартійний, приватний підприємець",б/м
21,Кушина Микола Миронович,"Освіта середня, позапартійний, Волинський спеціалізований огролісгосп, лісник",1
22,Лонюк Людмила Тарасівна,"Освіта вища, позапартійна, Болехівська міська рада, керуючий справами міськвиконкому",б/м
23,Макота Галина Зенонівна,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Львівський регіональний інститут державного управління Національної академії державного управління при Президентові України, слухач",б/м
24,Мельник Богдан Михайлович,"Освіта вища, член Української Народної Партії, управління освіти міськвиконкому, начальник управління освіти",б/м
25,Павлів Леся Богданівна,"Освіта вища, член Політичної партії ""Фронт Змін"", Болехівська загальноосвітня школа І-ІІІ ст., лаборант",18
26,Паснак Оксана Іванівна,"Освіта вища, позапартійна, Міжрічанська загальноосвітня школа І-ІІІ ст., вчитель",19
27,Петровський Роман Володимирович,"Освіта середня спеціальна, позапартійний, Прикарпатський УБР м. Долина, буровий майстер",9
28,Пічкур Олександр Петрович,"Освіта вища, член Політичної партії ""Фронт Змін"", приватний підприємець",б/м
29,Романюк Андрій Григорович,"Освіта вища, член Політичної партії ""Наша Україна"", Болехівська міська рада, секретар ради",б/м
30,Сабадаш Лідія Богданівна,"Освіта вища, позапартійна, Підберезька загальноосвітня школа І-ІІ ст., директор школи",б/м
31,Соболь Ольга Михайлівна,"Освіта вища, член Політичної партії ""Фронт Змін"", міськлікарня, заст голлікаря",б/м
32,Стебницький Володимир Миронович,"Освіта вища, член Народно-демократичної партії (НДП), управління з питань надзвичайних ситуацій та у справах захисту населення від наслідків ЧАЕС Івано-Франківської області, начальник управління",б/м
33,Стельмах Марія Ярославівна,"Освіта вища, позапартійна, Прикарпатський лісогосподарський коледж, викладач",15
34,Ткач Анатолій Васильович,"Освіта середня спеціальна, член Української республіканської партії ""Собор"", ВАТ ""Шкіряник"", майстер очисних споруд",б/м
35,Турків Іван Богданович,"Освіта вища, позапартійний, Відділ Житлово-комунального господарства та будівництва міськвиконкому, головний спеціаліст",3
36,Уханський Дмитро Михайлович,"Освіта вища, член Політичної партії ""Наша Україна"", тимчасово не працює",16
37,Фамелюк Любов Михайлівна,"Освіта вища, член Української республіканської партії ""Собор"", Поляницька сільська рада, інженер із землевпорядкування",б/м
38,Чекаловська Тетяна Львівна,"Освіта вища, позапартійна, Міжрічанська загальноосвітня школа І-ІІІ ст., прак-тичний психолог",21
39,Чекан Мирон Васильович,"Освіта вища, член Єдиного Центру, пенсіонер",8
40,Юзьків Віталій Теодозійович,"Освіта вища, позапартійний, Болехівське міське управління юстиції, начальник виконавчої служби",11
41,Юкіш Неоніла Платонівна,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Вигодська дитяча музична школа, викладач",б/м
42,Юрків Іван Васильович,"Освіта середня спеціальна, позапартійний, тимчасово не працює",20
43,Юрочко Любов Степанівна,"Освіта вища, член Народно-демократичної партії (НДП), управління Пенсійного фонду України в м.Болехові, начальник управління",б/м
44,Яцинин Василь Іванович,"Освіта вища, член Єдиного Центру, Болехівська міська рада, реєстратор",17
