number,name,about,okruh
1,"АНДРЕЙЧУК Микола Юрійович","10.07.1962 року народження, член партії Конгрес Українських Націоналістів, директор Цуцилівської ЗОШ I – II ступенів",
2,"АРАБЧУК Ярослав Ілліч","19.02.1948 року народження, член Народно-демократичної партії України, начальник управління Державно-го казначейства України в області",
3,"АРТЕМОВИЧ Іван Михайлович","10.07.1960 року народження, позапартійний, голова правління ВАТ “Хутрофірма “Тисмениця”",
4,"БАЛАШ Микола Іванович","22.11.1950 року народження, член Соціал-демократичної партії України (об’єднаної), головний лікар Косів-ської центральної районної лікарні",
5,"БАХМАТЮК Дмитро Михайлович","19.10.1942 року народження, член партії Народний Рух України, директор Калуської гімназії",
6,"БІЛИК Роман Павлович","24.01.1964 року народження, член партії Рух (Український Народний Рух), завідувач дитячого відділення Заболо-тівської районної лікарні",
7,"БІЛОСКУРСЬКИЙ Роман Євгенович","16.03.1972 року народження, позапартійний, голова правління ВАТ “Галичцукор”",
8,"БОДНАРЧУК Дмитро Юрійович","13.11.1955 року народження, член партії “Демократичний союз”, начальник відділу освіти Тлумацької ра-йонної державної адміністрації",
9,"БОЛЮК Зінаїда Андріївна","19.10.1956 року народження, член Української Народної Партії, голова Рогатинської районної державної адміністрації",
10,"БОРОВИЧ Богдан Карлович","11.04.1947 року народження, член партії Конгрес Українських Націоналістів, голова представництва Дер-жавного комітету України з питань регуляторної політики та підприємництва в області",
11,"БРУС Василь Хомич","27.07.1954 року народження, позапартійний, голова обласної ради",
12,"БУДЗАК Іван Васильович","20.06.1961 року народження, позапартійний, заступник начальника управління освіти і науки обласної дер-жавної адміністрації",
13,"БУЧКО Мирослав Богданович","02.03.1956 року народження, позапартійний, проректор з навчально-методичної роботи Прикарпатського юридичного інституту МВС України",
14,"ВАКАЛЮК Ігор Васильович","13.05.1957 року народження, член політичної партії “Жінки за майбутнє” Всеукраїнського політичного об’єднання, директор Івано-Франківського перинатального центру",
15,"ВАСИЛЮК Лук’ян Петрович","16.08.1953 року народження, член Соціал-демократичної партії України (об’єднаної), головний лікар Ярем-чанської центральної міської лікарні",
