number,name,about,okruh
1,Буграк Василь Богданович,"Освіта середня, позапартійний, Івано-Франківський м’ясокомбінат, працівник",17
2,Витвицька Надія Остапівна,"Освіта середня, позапартійна, фельдшерсько-акушерський пункт с. Вовчинець, завідуюча",4
3,Воляк Микола Нестерович,"Освіта вища, позапартійний, Івано-Франківський національний медичний університет, декан стоматологічного факультету, головний лікар стоматологічної поліклініки ІФНДМУ",14
4,Галущак Василь Петрович,"Освіта середня, позапартійний, приватна фірма ""Комфортбуд"", будівельник",1
5,Галько Дмитро Васильович,"Освіта середня, позапартійний, тимчасово не працює",8
6,Галько Петро Михайлович,"Освіта вища, позапартійний, ТзОВ ""Данея"", начальник цеху",10
7,Григорук Любомир Михайлович,"Освіта вища, позапартійний, приватний підприємець, фермер",13
8,Довгий Антон Миколайович,"Освіта вища, позапартійний, приватне підприємство ТзОВ ""МОЦ""Арніка"", юрист",2
9,Дубяк Олександра Ярославівна,"Освіта вища, позапартійна, Вовчинецька сільська рада, секретар",9
10,Зрайко Іван Іванович,"Освіта вища, позапартійний, Тисменецька міська лікарня, завідувач відділенням невідкладної медичної допомоги",6
11,Майструк Анатолій Всеволодович,"Освіта вища, позапартійний, магазин ""Автомайстер"", менеджер",16
12,Місюк Оксана Василівна,"Освіта вища, позапартійна, пенсіонер",12
13,Назар Сергій Михайлович,"Освіта вища, позапартійний, ЗАТ ""Діавест"", менеджер",5
14,Романів Олег Климович,"Освіта вища, позапартійний, приватний підприємець",18
15,Третяк Іван Михайлович,"Освіта середня, позапартійний, приватний підприємець",11
16,Угринюк Василь Петрович,"Освіта вища, позапартійний, ТзОВ ""Класик-Авто"", генеральний директор",20
17,Федорів Василь Ярославович,"Освіта вища, позапартійний, Івано-Франківський національний технічний університет нафти і газу, викладач",15
18,Фецич Володимир Іванович,"Освіта середня, член Політичної партії ""Наша Україна"", магазин ""Козак"", приватний підприємець, директор",22
19,Хлібкевич Людмила Василівна,"Освіта середня, позапартійна, ТзОВ ""555-ІФ"", адміністратор супермаркету ""Велес""",21
20,Худяк Олег Богданович,"Освіта середня, позапартійний, ТзОВ БК ""Комфортбуд-2"", водій",19
21,Шевчук Наталя Василівна,"Освіта вища, позапартійна, Вовчинецька сільська рада, начальник військово-облікового столу",3
22,Якубенко Наталія Богданівна,"Освіта вища, позапартійна, Вовчинецька загальноосвітня школа І-ІІ ст., заступник директора з навчально-виховної роботи",7
